"GEOID","B01001_001","B25001_001","B26001_001","residentialStability","populationCrowding","mentalHealthProvider","ambulanceEmergencyPerCapita","perEnglishLessThanWell","perRenters","perSingleParentHouseholds","perUnitsForSale","perUnitsRecreational","sexualOffenseRate","homicideRate","neighborhoodStability","safety_score","safety_rnk","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","safety_state_rnk","NAME"
"36009",77121,41596,2621,90.0001355362492,10.75125781778,0.466798926362469,0.0648331842170096,1.68131099692925,23.0114073117486,10.8090248277164,5.39879800346338,60.6193338086992,0.0298232647398244,0,13,109.98,66.4961636828644,107.32,96.11,95.03,85.82,70.4918032786885,"Cattaraugus County, New York"
"36011",77425,37077,4343,88.5857830925096,12.7407776346135,0.594123345172748,0.0516628995802389,0.93954822920476,23.5736248718825,11.8574036706063,2.33948087431694,53.8422131147541,0.050371327090733,0.00193735873425896,13,105.86,56.3618925831202,103.81,97.22,90.29,89.91,52.4590163934426,"Cayuga County, New York"
"36013",128496,67645,5755,89.589007281853,13.9742812470085,0.568111069605279,0,1.79514834652578,24.0660070880094,10.3382006594442,5.29169526424159,60.9402882635553,0.0766560826796165,0.00233470302577512,13,104.64,53.037084398977,101.04,103.11,89.44,87.43,47.5409836065574,"Chautauqua County, New York"
"36015",84895,38870,4665,89.2176630708741,13.6005602939624,0.235585134578008,0.0353377701867012,1.07017400539172,27.9430789133247,11.7920503692371,6.45359557467732,12.7432903093628,0.0106013310560104,0.00117792567289004,12,95.11,35.1342710997442,108.13,100.1,88.45,100.61,36.0655737704918,"Chemung County, New York"
"36017",47909,25625,687,88.0624426078972,10.6427126381132,0.354839382996932,0,0.600756859035005,20.6589661049044,10.4846112963231,4.32224025974026,46.3676948051948,0.0250474858586069,0,14,110.14,66.8797953964194,107.76,103.73,98.27,86.54,72.1311475409836,"Chenango County, New York"
"36019",80583,36576,7771,87.2436536969294,14.2338447331416,0.25731539752489,0.00620419413641148,1.01099782334746,30.6240886555847,10.3862496405866,7.48815165876777,38.824644549763,0.071160429841946,0.00442339448439351,12,92.31,30.7544757033248,99.82,103.32,90.49,103.2,31.1475409836066,"Clinton County, New York"
"36021",60371,33486,2447,91.1861456792272,12.5622731600955,0.430670354971758,0.0662569776879628,3.2841290144156,24.8897531164277,8.71985900825122,8.33333333333333,53.9084507042254,0.00993854665319441,0,14,109.37,65.2173913043478,109.16,96.06,92.72,82.88,63.9344262295082,"Columbia County, New York"
"36023",47865,20737,3500,84.6506744573528,16.0964522523754,0.689439047320589,0,0.729115724892189,30.5789691861268,11.0115525500141,3.94385026737968,25.4344919786096,0.0438733939204011,0.00208920923430482,12,87.99,24.9680306905371,104.29,102.76,85.98,109.97,27.8688524590164,"Cortland County, New York"
"36025",44995,31609,2277,90.9401669102739,10.6772743515959,0.460834463356999,0.0111112918345249,1.52414075286416,22.0566008234742,9.24715309995782,2.34949766632387,82.279882920655,0.071160429841946,0.00442339448439351,14,116.98,80.6265984654731,99.82,102.17,99.03,77.36,85.2459016393443,"Delaware County, New York"
"36027",293754,120789,18205,90.5303959211013,16.7172749641465,0.493610299774641,0.0136168358558522,4.65957626166123,26.579868221566,8.42611125971978,12.1929541047188,29.8400129282482,0.0173614657162115,0.000680841792792609,13,95.98,36.5089514066496,107.91,101.79,82.2,91.69,37.7049180327869,"Dutchess County, New York"
