"GEOID","B01001_001","B25001_001","B26001_001","residentialStability","populationCrowding","perEnglishLessThanWell","perRenters","perSingleParentHouseholds","perUnitsRecreational","sexualOffenseRate","homicideRate","neighborhoodStability","mentalHealthProvider","ambulanceEmergencyPerCapita","safety_score","safety_rnk","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","safety_state_rnk","NAME"
"17201",283289,124959,4129,87.2548984067717,12.4486463210861,5.26361766504396,29.504413087251,12.5180815771466,8.54889589905363,0.0815421707161238,0.016590831271246,11,41.3005799731017,1.76498205013255,81.6,17.0640326975477,91.96,94.23,79.61,113.82,9.52380952380952,"Winnebago County, Illinois"
"17203",38348,15745,975,92.0396125331457,4.23718839010381,0.179865918133755,12.5110083663584,7.01849836779108,3.1700288184438,0,0,12,7.82309377281736,0,118.96,84.9795640326976,108.18,114.12,119.68,86.28,84.5238095238095,"Woodford County, Illinois"
"18001",35995,13250,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County, Indiana"
"18003",388791,164456,5698,86.3167636171338,10.427132048525,4.78091268568986,26.4083278304799,10.8669567980906,5.42197994743502,0.0812776015905718,0.0064301899992541,9,47.3261983945102,0,81.54,16.9959128065395,98.63,97.98,88.36,119.81,8.45070422535211,"Allen County, Indiana"
"18005",82881,35517,1014,85.2946260989825,10.272084498051,4.28449432719288,26.1973484663177,9.78656318214892,13.0280300039479,0,0.00201091524796596,10,69.9798506292154,0,82.58,18.1198910081744,106.86,88.72,92.33,117.89,9.85915492957747,"Bartholomew County, Indiana"
"18007",8708,3778,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benton County, Indiana"
"18009",12007,5863,139,84.6310605417339,6.84025625129159,0,19.1452991452991,9.24901185770751,1.49439601494396,0,0.00832847505621721,11,41.642375281086,0,95.5,35.0476839237057,102.72,100.3,110.04,111.66,33.8028169014084,"Blackford County, Indiana"
"18011",72827,29019,681,85.3212292456393,6.78724416944312,1.46847565841979,17.2986791648914,7.71074853298984,17.1802054154995,0.0233429909236959,0,9,54.9246845263432,0,94,32.3228882833787,106.65,94.87,110.28,112.82,28.169014084507,"Boone County, Indiana"
"18013",15543,8540,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brown County, Indiana"
"18015",20443,9539,115,90.8860507876559,3.22204645741404,0.747022006864527,17.6714127032212,7.41525423728813,51.9471947194719,0,0,13,19.5665998141173,0,119.6,85.9673024523161,108.18,109.32,119.33,84.24,94.3661971830986,"Carroll County, Indiana"
"18017",37703,16389,948,88.4431499697752,6.21422366750562,9.09090909090909,19.5255986093198,13.8501742160279,13.5836177474403,0.0636554120361775,0,11,23.8707795135666,0,95.98,36.1376021798365,104,107.56,79.22,102.06,37.3239436619718,"Cass County, Indiana"
"18019",122800,53854,1629,89.7749453629402,9.66528694031614,3.08479958523703,21.5148170988997,11.4122478854912,9.42184154175589,0.0651465798045603,0.00162866449511401,10,44.7882736156352,0,93.44,31.4032697547684,102.84,99.01,92.49,104.39,25.3521126760563,"Clark County, Indiana"
